dataset,model,sample_id,task_type,correct_format_count,correct_formats,oracle_correct,sheetflex_correct,correct_latex,correct_markdown,correct_json_cells,correct_json_rows,correct_image,correct_excel_1_image
realhit,Qwen3.5-9B,1,Fact Checking,5,latex+markdown+json_cells+image+excel_1_image,True,True,True,True,True,False,True,True
realhit,Qwen3.5-9B,2,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,3,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,4,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,10,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,11,Fact Checking,2,markdown+image,True,False,False,True,False,False,True,False
realhit,Qwen3.5-9B,12,Fact Checking,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,13,Fact Checking,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,14,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,19,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,20,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,21,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,22,Numerical Reasoning,3,latex+json_rows+excel_1_image,True,False,True,False,False,True,False,True
realhit,Qwen3.5-9B,25,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,26,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,27,Numerical Reasoning,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,28,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,31,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,32,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,33,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,34,Fact Checking,3,json_cells+image+excel_1_image,True,True,False,False,True,False,True,True
realhit,Qwen3.5-9B,36,Numerical Reasoning,4,latex+markdown+json_rows+excel_1_image,True,True,True,True,False,True,False,True
realhit,Qwen3.5-9B,37,Numerical Reasoning,5,latex+markdown+json_rows+image+excel_1_image,True,True,True,True,False,True,True,True
realhit,Qwen3.5-9B,38,Numerical Reasoning,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,39,Numerical Reasoning,4,latex+markdown+json_rows+image,True,True,True,True,False,True,True,False
realhit,Qwen3.5-9B,42,Fact Checking,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,43,Fact Checking,0,none,False,False,False,False,False,False,False,False
realhit,Qwen3.5-9B,44,Fact Checking,3,json_cells+json_rows+excel_1_image,True,True,False,False,True,True,False,True
realhit,Qwen3.5-9B,45,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,48,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,49,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,50,Fact Checking,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,53,Numerical Reasoning,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,54,Numerical Reasoning,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
realhit,Qwen3.5-9B,57,Numerical Reasoning,5,latex+markdown+json_cells+json_rows+excel_1_image,True,True,True,True,True,True,False,True
realhit,Qwen3.5-9B,58,Fact Checking,1,excel_1_image,True,False,False,False,False,False,False,True
realhit,Qwen3.5-9B,59,Fact Checking,6,latex+markdown+json_cells+json_rows+image+excel_1_image,True,True,True,True,True,True,True,True
